elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
-2.95073,2.04346,2.61134,-1.17585,2.52753,0.89323,0.344406,-0.0138066,0.341104,0.767022,0.0838884,-0.307807,0.556682
-2.76406,-2.47262,-4.91936,2.42873,5.49784,-3.88155,0.431486,-0.104898,1.12239,-0.481317,0.781539,0.395961,-0.0272988
0.879301,3.29362,2.77855,-4.39859,-3.96242,5.2619,-0.184375,-0.0741978,0.320668,-0.203529,0.307656,0.91359,-0.171103
-2.42579,0.767035,-0.808295,3.79084,4.10837,5.67245,-0.803993,-0.842276,-0.177363,0.491694,0.152199,0.823149,0.239787
-1.61816,2.57122,-1.94904,2.67462,1.17988,-3.06106,0.224906,0.128695,-0.348162,0.113896,0.747322,-0.627044,-0.188023
1.7338,5.08474,5.617,-4.14684,2.78428,-4.2927,-0.0745625,0.053073,1.17208,0.222126,-0.635394,0.126527,0.728646
3.11339,-5.67572,-3.51172,3.69704,3.67052,-4.89788,0.176946,-0.0785483,-0.076869,-0.102092,0.818105,-0.484927,-0.291766
2.46833,2.13032,4.33292,2.52078,0.945513,3.47579,-0.229697,-0.126818,-0.372844,-0.565936,-0.0822681,0.0651819,0.817741
-0.748454,1.26247,1.5823,5.2522,4.86334,-5.69943,-0.198734,0.446155,-0.429597,-0.646927,0.749185,0.111086,-0.0886978
-2.42,4.49352,-5.98994,-0.0983731,5.73548,2.9923,0.157716,-0.225729,1.29095,-0.243537,-0.424734,-0.293427,0.821091
2.90496,-2.14372,4.36625,0.787325,4.88381,-3.47053,0.519049,-0.324765,0.375059,-0.410414,0.629504,-0.394801,0.528599
2.9249,3.93303,1.7423,-1.92526,1.51536,-5.65444,-0.0501354,-0.173895,1.10783,0.734486,-0.495881,-0.441254,0.141162
1.54436,0.83565,2.58401,0.758804,3.1384,-5.20058,-0.0585236,-0.0341458,-0.0555557,-0.505092,0.496244,0.517391,-0.480552
-1.56371,2.45659,-0.73993,-4.28436,-0.766176,1.90342,0.255117,0.426442,-0.715645,-0.55773,-0.0267836,0.623378,0.547375
-1.98925,5.95975,-3.01419,-4.45064,5.17855,2.81151,0.152911,-0.213651,0.152346,-0.0546468,-0.226553,-0.0505347,0.971151
1.6576,0.77433,-0.904031,3.18106,5.30855,3.5348,-0.333187,1.06514,-0.045746,0.360168,-0.638407,0.670286,-0.115894
-2.49161,2.97599,-0.247132,-1.88365,2.04026,-5.41337,0.987848,0.598411,-0.306844,-0.339498,0.226175,-0.761211,0.504127
1.79728,-1.10102,-2.88105,5.94498,-5.46711,-4.71658,-0.192018,-0.297846,0.268582,0.0841643,0.395383,0.670102,0.622537
1.2456,-3.27867,-1.12692,-0.174617,1.39956,-3.54364,-0.475703,-0.803647,-0.54593,-0.0311549,0.103151,0.0325463,0.993645
1.32863,-3.17312,3.22223,2.14991,3.48852,-5.07536,-0.0902888,-0.0963724,0.235831,0.771901,0.204245,-0.57665,-0.172999
-2.44225,0.571953,-2.15083,0.152777,2.21996,-2.96269,-0.424978,-0.492972,0.495182,0.342518,0.88137,-0.100198,0.309563
-2.30816,-1.15999,6.19256,0.643851,4.54449,0.106668,-0.153436,-0.398984,1.12095,-0.0726323,-0.462196,0.821399,0.326194
-1.01271,-1.25617,2.96529,-4.55865,-3.43983,-0.186039,0.112806,-0.0622128,0.321868,0.56873,0.467813,0.618681,0.273735
-1.5879,-0.719322,1.41339,4.71941,2.37544,0.723185,0.072302,-1.04533,0.203234,0.857389,0.17263,0.457145,-0.161557
1.68254,1.58163,4.833,-2.64492,2.08194,4.3398,-0.17753,0.531677,-0.350168,0.613715,0.616126,0.0342818,-0.492511
0.73654,5.28843,2.52425,-3.24332,-2.03281,-5.12881,0.281529,0.420234,0.0372843,0.105067,-0.214369,-0.822948,0.515523
-2.05051,5.80721,3.8138,0.0954925,4.77487,2.44261,0.101,-0.198964,0.65421,-0.509829,0.310732,0.106278,0.795126
-1.53878,-3.64942,-4.45555,3.31547,2.82023,-3.73975,0.0381209,0.795617,0.390462,0.569908,-0.133213,0.77761,-0.229743
2.64787,1.66284,-5.93981,-3.79324,-0.620277,-3.72644,0.0185272,-0.31544,-0.98808,-0.464565,-0.0177789,-0.559486,0.686177
-1.34752,-4.20281,1.59415,-2.98023,-1.49844,-1.55493,-0.0339041,0.973855,-0.0814969,0.571038,0.702141,-0.292646,0.308662
-0.858797,2.27262,-2.27597,5.15346,-0.607167,-0.411462,0.371791,-0.0177515,-0.396311,-0.418435,-0.257944,0.785683,-0.375605
2.56543,0.00589871,4.05503,-1.9532,4.24246,6.25154,-0.247506,0.0160644,0.782179,0.859674,0.37951,-0.0689204,0.334936
-2.09472,4.49392,1.96945,-6.255,-0.245699,5.28981,0.0600837,-0.470087,0.565015,0.702474,0.178012,-0.594021,-0.349258
